name,slug,type,inhouse
ISA Caliber 92381970,isa-caliber-9238-1970/,Quartz,
ISA Caliber 95163030,isa-caliber-9516-3030/,Quartz,
Jaeger-LeCoultre Caliber JLC 657,jaeger-lecoultre-caliber-657,Quartz,
Junghans Caliber J645.85,junghans-caliber-j645-85,Quartz,
Kronaby Caliber BT001,kronaby-caliber-bt001,Quartz,
List of G-Shock Movements,gshock-modules,Quartz,
Longines Caliber L157,longines-caliber-l157,Quartz,
Longines Caliber L263,longines-caliber-l263,Quartz,
 Louis Vuitton DuoJet Movement (Unknown Caliber),https://calibercorner.com/louis-vuitton-duojet-movement-unknown-caliber,Quartz,
Miyota Caliber 0S00,miyota-caliber-0s00,Quartz,
Miyota Caliber 0S10,miyota-caliber-0s10,Quartz,
Miyota Caliber 0S11,miyota-caliber-0s11,Quartz,
Miyota Caliber 0S20,miyota-caliber-0s20,Quartz,
Miyota Caliber 0S21,miyota-caliber-0s21,Quartz,
Miyota Caliber 0S25,miyota-caliber-0s25,Quartz,
Miyota Caliber 0S30,miyota-caliber-0s30,Quartz,
Miyota Caliber 0S60,miyota-caliber-0s60,Quartz,
Miyota Caliber 0S80,miyota-caliber-0s80,Quartz,
Miyota Caliber 1L45,miyota-caliber-1l45,Quartz,
Miyota Caliber 1M02,miyota-caliber-1m02,Quartz,
Miyota Caliber 1M12,miyota-caliber-1m12,Quartz,
Miyota Caliber 1N12,miyota-caliber-1n12,Quartz,
Miyota Caliber 1S13,miyota-caliber-1s13,Quartz,
Miyota Caliber 2035,miyota-caliber-2035,Quartz,
Miyota Caliber 2105,miyota-caliber-2105,Quartz,
Miyota Caliber 2115,miyota-caliber-2115,Quartz,
Miyota Caliber 2353,miyota-caliber-2353,Quartz,
Miyota Caliber 2415,miyota-caliber-2415,Quartz,
Miyota Caliber 2453,miyota-caliber-2453,Quartz,
Miyota Caliber 3S10,miyota-caliber-3s10-3510,Quartz,
Miyota Caliber 5R21,miyota-caliber-5r21,Quartz,
Miyota Caliber 5R32,miyota-caliber-5r32,Quartz,
Miyota Caliber 6N00,miyota-caliber-6n00,Quartz,
Miyota Caliber 6N10,miyota-caliber-6n10,Quartz,
Miyota Caliber 6P24,miyota-caliber-6p24,Quartz,
Miyota Caliber 6S20,miyota-caliber-6s20,Quartz,
Miyota Caliber 6S20,miyota-caliber-6s20-2,Quartz,
Miyota Caliber 6S21,miyota-caliber-6s21,Quartz,
